Site	Season	pH	Temp	EC	TOC	F	Cl	NO3	SO4	PO4	Na 	K 	Ca 	Mg 	UV254over210	FluoCoverA	FluoT	IR_wide1375_1398	IR_sharp_1430	IR1507
R1Sp	Spring	7,97	11,25	147,5	2,3	0,04034	10,688	4,033	14,407	0,23	9,15	4,051	14,912	4,144	0,031	0,919089413055403	1	1	0	0
R1Su	Summer	7,81	13,85	154	8,891	0,01751	6,05	1,965	7,329	0,215	8,424	3,451	15,701	3,354	0,045606103419045	0,685750205704596	0	0	0	0
R2Sp	Spring	8,03	13,15	347,5	3,815	0,0456	25,301	6,743	27,852	0,23	19,522	6,65	24,922	5,83	0,05	1,06217870257038	1	1	0	1
R2Su	Summer	7,67	15,3	323,5	4,581	0,03503	8,875	2,725	6,888	0,215	21,279	6,435	20,376	3,761	0,054269149075093	0,720555729673556	1	1	0	0
R3Sp	Spring	7,485	11,15	122	3,065	0,0545	9,252	4,331	14,26	0	5,955	2,571	10,449	4,677	0,112	0,742040285899935	0	0	0	0
R3Su	Summer	6,875	14,55	79	10,575	0,05254	3,398	0,522	4,159	0	2,325	1,291	5,37	1,102	0,296358700739493	0,580814643637309	0	0	0	0
R4Sp	Spring	7,465	11,2	123,5	3,93	0,05862	12,063	2,865	13,682	0	5,748	2,797	9,421	4,046	0,102	0,671729225428509	0	0	0	0
R4Su	Summer	6,84	14,65	84	6,246	0,07005	3,195	0,487	3,575	0	5,084	3,073	9,997	3,263	0,30136398467433	0,548446827326995	0	0	0	0
R5sp	Spring	8,115	11,3	357	3,155	0,07421	11,63	5,299	21,626	0	8,121	2,972	42,803	12,855	0,041	0,86682808716707	1	1	0	1
R5Su	Summer	7,855	16,3	444,5	11,604	0,08414	9,363	2,837	14,198	0,077	6,044	1,843	42,859	9,483	0,056922572178478	0,56994733577397	0	1	1	1
R6Sp	Spring	7,955	16,4	748	9,7	0,06566	49,059	2,898	180,02	0	24,381	6,766	86,596	21,363	0,076	0,791937854293512	1	1	0	1
R6Su	Summer	7,945	21,65	817	13,64	0,08943	20,18	0,321	40,497	0	24,906	7,074	102,1	20,105	0,293716058960434	0,587096058035743	1	1	1	1
R7Sp	Spring	8,43	16,25	338	3,565	0,07726	20,321	4,314	27,634	0	13,616	2,576	46,747	8,695	0,06	0,847669491525424	1	1	1	1
R8Sp	Spring	8,295	13,6	349,5	2,92	0,07296	19,665	5,429	25,856	0	13,825	2,487	48,834	8,511	0,054	0,831885317115552	1	1	1	1
R8Su	Summer	7,85	19,75	329	12,589	0,08062	4,614	1,425	7,56	0,051	10,575	2,153	34,52	6,917	0,055975906474393	0,548024826435094	0	1	1	1
R9Sp	Spring	9,12	14,8	495	17,15	0,07486	59,505	1,661	46,224	0	38,993	10,038	30,539	11,965	0,191	0,935941985194138	1	1	1	1
R9Su	Summer	8,605	23,45	852,5	19,395	0,09119	133,292	1,822	30,866	0,251	62,344	15,528	63,183	18,888	0,171451129857612	0,615222599992755	1	1	1	1
R10Su	Summer	7,5	16,4	119,5	5,692	0,07357	4,107	1,715	6,618	0,14	3,553	2,453	16,291	3,812	0,154958127725793	1,05999066623298	0	1	0	0
